id,user_story,Feature Specificity (FS),Rationale Clarity (RC),Problem oriented,Language Clarity (LC),Internal Consistency (IC),Notes ( mostly for bad results on the metrics )
6459,As a parent I want to be able to sign and submit consent forms online so that I don't have to deal with my child losing a consent form.,2,2,2,2,3,
6802,"As a user, I want the app to provide a secure and reliable platform for managing camp operations, ensuring the efficient and safe management of camp resources and experiences.",1,2,2,2,3,
8758,"As a camp administrator, I want to be able to track the performance and activities of camp employees, including task completion reports and behavior assessments, to monitor staff productivity and conduct performance evaluations.",2,3,3,2,3,
6257,"As a quality assurance tester, I want to test the activity scheduling module to ensure that camp attendees can easily view and sign up for activities, and that schedules are updated in real-time.",1,1,1,2,3,
1908,"As a camp counselor, I want to access camper profiles and their assigned activities to effectively supervise and engage with campers during their activities.",3,2,3,2,3,
7565,As a camp administrator I want to be able to delete tasks/activities I scheduled so that I can keep the schedule clean of unneeded activities.,3,2,3,3,3,
2124,"As a guardian, I want to be able to securely access and update my child's medical information, dietary restrictions, and consent forms to provide accurate and current details for the camp's records.",3,3,3,3,3,
7777,"As a camp administrator, I want the system to provide insights on attendance records and activity participation, so that I can monitor the engagement and performance of camp attendees.",2,2,3,2,2,
3706,"As a parent, when I report another counselor, I want to be able to tag the offending counselor, so that the head manager can more easily investigate it.",2,2,2,2,3,
4716,"As a branch campsite manager, I want to be able to look at the schedule for the week, so I know which counselors I will have working in my area.",2,3,3,2,3,
7716,As a camp administrator I want to be able to keep camper records from previous years  so that the amount of work I need to do is lowered.,2,1,2,2,2,
1753,"As the owner, I want access to a list of facility needs so that I can fix them. ",2,1,2,2,2,
7973,As a camp administrator I want to be able to modify a group's information so that I can keep the groups up to date.,2,2,3,2,3,
7307,As a camp administrator I want to store camper's immediate parent/guardian's information so that I can easily call to notify them in case a grossly unacceptable behavior.,2,3,3,2,3,
146,As the owner I want to be able to have easy access to medical forms so I can quickly verify children special needs.,2,3,3,2,3,
4635,As an employee I would like to be able to update my tasks on the application so my boss can know how far along my task is.,2,2,2,2,3,
715,"As a camp worker, I want to access training materials and guidelines through the system, to enhance my skills and knowledge in supporting camp activities and events.",3,3,3,2,3,
26,As a parent I want to be able to submit various type of forms to the camp management.,1,1,1,2,3,
2925,As a camp worker I'm able to report necessary repairs to the manager that the camp is needed of.,2,1,2,1,2,
395,"As a camp worker, I want to be able to view and track camper progress and behavior reports, so that I can support the well-being and development of the camp attendees.",2,2,3,2,2,
3829,"As a camp administrator, I want to have a system for managing camp worker schedules, roles, and responsibilities, to efficiently organize staff tasks and ensure coverage for all camp activities.",2,2,3,2,3,
5153,As a parent I want to be able to see which consent forms I have submitted so that I can know what I still need to do.,3,3,3,2,3,
7615,As a camp administrator I want to be able to see all my camp groups and the events scheduled for each camp group so that I can notify counselor of what their group will be doing for the day.,3,3,3,2,3,
4638,As a camp administrator I want to be able to warn a camp worker who I think did his/her job inappropriate.,2,1,1,3,3,
9858,"As an administrator, I want a place to organize all employee data, so that I can quickly check any pay rates or filing statuses when needed.",2,2,3,2,3,
2383,"As a parent, I want my child’s data to be secure within the system so that they stay safe while inside and outside the camp.",2,1,1,2,1,
9398,"As the administrator, I would like the system to have a forum area where I can communicate directly with all employees about camp rules or feedback I have for them.",3,2,2,2,3,
6624,"As an admin user, I want to have administrative access, so I have administrative privileges such as create and delete users.",1,1,2,2,2,
8228,As a camp administrator I want to be able to modify the information of added parents so that I can keep parent's information up to date.,3,3,3,3,3,
24,"As a camp administrator, I want to be able to access and update attendee information easily, so that I can manage camper registration efficiently.",1,2,3,1,3,
8523,"As a camp administrator, I want to ensure that notifications and alerts are sent to campers, guardians, and workers for important updates, reminders, and emergency situations to keep all stakeholders informed and safe.",3,3,3,3,2,
5584,"As a camp administrator, I can send an email message to any attendee via a form as an approval of registration for an event.",3,1,1,3,3,
674,"As a guardian, I want to receive notifications and updates about my child's performance and participation at the camp, so that I can stay informed and involved in their experience.",2,2,3,2,3,
1695,"As a camp administrator, I want to be able to schedule and manage camp activities, categorize them by type and age group, and assign camp workers to supervise and facilitate the activities.",3,2,3,3,3,
929,"As an employee, I want the ability to alert my boss quickly if I am ill, so that if I need to take a sick day, he can quickly find a replacement.",2,2,2,2,2,
8471,"As a camp worker, I want to have a platform for communication and coordination with other camp workers, so that we can collaborate effectively and ensure smooth operation of the camp.",2,2,3,2,3,
7729,As a parent I want to see which counselors are assigned to my kids so that I can have peace of mind.,3,1,2,1,1,
2201,"As a camp guardian, I want to receive updates and notifications about my child's activities and schedules at the camp, to stay informed and connected with my child's camp experience.",2,2,3,2,3,
5354,As a camp worker I'm able to report a list of supplies to the manager that the camp is short of.,2,1,1,2,3,
3718,"As a camp worker, I want to have access to a calendar of camp activities and events, so that I can plan and prepare for my responsibilities.",2,2,3,2,3,
3959,"As a system user, I want to have nice error pages when something goes wrong so that I can trust the system and its developers.",1,1,1,2,1,
3811,As a camp administrator I want to be able to see only events for a specific group/groups on the event calendar so that I can easily read the data on the calendar without too much clutter.,3,2,2,2,3,
467,"As a parent, I want to have access to feedback and reports on camp equipment and facility conditions, so that I can ensure a safe and enjoyable camp environment for my child.",3,3,3,3,3,
796,As a parent I want to be able to connect with the staff in case of an emergency.,2,1,2,3,3,
1501,"Given I am an admin, I should be able to accept fees in cash or card from participants for an activity",1,1,1,2,2,
5885,As a camp administrator I want to be able to set a reminders related to specific tasks that has to be done.,3,1,2,2,3,
5620,"As an admin user, I want to delete guardian user accounts so I can delete guardian accounts that are no longer needed.",3,3,3,3,3,
1542,"As a parent, I want to be able to submit a social media release form so that I can express whether or not I want images of my child shared on the internet.",2,3,3,3,3,
6806,"As a camp guardian, I want to be able to provide feedback on my child's camp experience, including any concerns or suggestions for improvement, to ensure their well-being and satisfaction at the camp.",2,2,2,2,2,
9167,"As the administrator, I would like to be able to keep notes of which students work well together and which students do not so that I can avoid drama when scheduling activities.",2,2,2,2,2,
6020,"As a camp worker, I want to receive training and support materials through the system, to enhance my ability to effectively manage camp activities and support camp attendees.",3,3,3,2,3,
1505,As a parent I want to be able to create an account so that I can sign up my kids for camp online.,2,3,3,2,3,
3795,"Given I am a camp worker, I should be able to chat with my admin",2,1,1,2,2,
2962,"As a camp worker, I want to be able to access and update my schedule and assigned tasks, so that I can stay organized and on top of my responsibilities.",2,2,2,2,3,
3838,"As a camp equipment coordinator, I want to manage equipment inventory, maintenance schedules, and repair requests, ensuring that camp facilities are well-equipped and maintained for camp activities.",3,3,3,2,3,
7636,"As a quality assurance tester, I want to conduct security testing to ensure that camper and employee data is protected, and that communication channels are secure and reliable.",1,1,3,2,3,
115,"Given I am an admin, I should be able to add the camp worker as guardians to the participants of an activity to help and manage them",3,2,3,2,3,
84,"As the parent I would like to know which employee is handling my child’s activities, so I know who to talk to in the event of an accident.",3,3,3,3,3,
2271,As a visitor of the app I want to be able to be able to read about the company so that I can find more information about Happy Camps.,2,2,2,3,3,
3615,As a camp administrator I want to be able to modify the information of enrolled campers so that I can keep the campers information up to date.,3,3,3,3,3,
6289,As a camp administrator I want to be able to add parents so that they can enroll their kids at camp.,2,2,3,2,2,
9763,"As a camp administrator, I want to be able to track and manage the attendance of campers in various activities and events, ensuring that they are accounted for and participating as expected.",2,2,3,2,3,
8033,"As an instructor, I want an app so that I can communicate quickly with the parents of my students when I need to.",2,1,1,2,3,
541,"As a parent/guardian, I can access the scheduling site, so I can see what kind of activities they offer.",2,2,3,2,2,
8797,"As a camp attendee, I want to have access to a real-time view of participation in scheduled activities, to track my engagement and involvement in camp events.",2,2,2,2,2,
3062,As a camp administrator I want to be able to keep my information in one place so that the admins next year can improve on the previous years.,1,2,2,1,1,
3725,As a parent I want to be able to see if I made all the necessary payments.,3,1,1,3,3,
9271,As a camp administrator I want to be able to modify tasks/events I scheduled in case there is a change so that I can always keep the schedule up to date.,3,2,3,2,3,
5966,"As a camp equipment manager, I want to generate reports on equipment usage and maintenance history, so that I can analyze resource management and make informed decisions.",3,3,3,2,3,
